name,author,translator,publisher
دو هفته نامه راز ـ شماره ۷۸ـ نیمه اول آذر۹۴,,,مجله راز
۱۳ کاری که والدین دارای ذهن قوی انجام نمی دهند,ایمی مورین,منصور بیگدلی,بهار سبز
پرواز تا اوج,گی هندریکز,فرناز فرود,انتشارات کتابسرای تندیس
پرسش های مهم زندگی,راجر اسکروتن,علی اوجبی,نشر خزه
پسران دلیر، جسور و متفاوت (جلد دوم),بن بروک,مینا رمضانی,انتشارات نسل نواندیش
كوچه هفت پیچ,محمدابراهیم باستانی پاریزی,,نشر علم
سال هایی که سینما مهم بود,توماس الزاسر $ الکساندر هورواث $ نوئل کینگ,مازیار اسلامی,نشر چشمه
مجموعه اشعار سیدعلی صالحی (دفتر سوم),سیدعلی صالحی,,انتشارات نگاه
دیگری,یوکیتو آیاتسوجی,احسان محمدزاده,نشر پیدایش
خاک سرد است,فیاض زاهد,,نشر ثالث
قمار دیگر,مصطفی ملایری,,بنگاه ترجمه و نشر کتاب پارسه
دو هفته نامه راز ـ شماره ۷۷ ـ نیمه دوم آبان ۹۴,,,مجله راز
اساطیر و اساطیرواره ها,سیروس شمیسا,,انتشارات شرکت کتاب هرمس
شکرآب,محدثه خالو,,انتشارات سخن
مردان بچه ننه,کنت آدامز,مینا فتحی,انتشارات کتابسرای میردشتی
خاطرات یک بی عرضه آبی (هفت جلدی),پاملا اسپلند,سمیرا ابراهیمی,ایران‌بان
بوستان سعدی,شیخ مصلح الدین سعدی شیرازی,,نشر گویا
عکاس؛ استودیو,جان چایلد,مهدی فاضل,انتشارات کتاب پرگار
خشم شهری,مصطفی دیکچ,مجید ابراهیم‌پور $ بنفشه خسروی $ نیما شکرایی,نشر چرخ
مامان می خوام ورزش کنم,ریبیکا ریتفورد,شکوه قاسم نیا,انتشارات قدیانی
شهر و ستارگان,آرتور کلارک,حسین شهرابی,انتشارات کتابسرای تندیس
آگوس و هیولاها (جلد ششم),ژائومه کوپونس,سعید متین,انتشارات هوپا
دو هفته نامه راز ـ شماره ۷۶ ـ نیمه اول آبان ۹۴,,,مجله راز
درخشان,استیون کینگ,لیلا شاپوریان,انتشارات کتابسرای میردشتی
رولت قفقازی,ویکتور مرژکو,آبتین  گلکار,انتشارات شرکت کتاب هرمس
فهرس,سنان انطون,محمد حزبایی‌زاده,نشر ثالث
در جستجوی آرامش,گابی گارسیا,سپیده بخت,انتشارات مهرسا
اگزیستانسیالیسم؛ قدم اول,ریچارد آپیگنانزی,ابراهیم اسکافی,انتشارات شیرازه
زمان لرزه,کورت ونه گات,مهرآیین اخوت,نشر هیرمند
خواست ناممکن,اسلاوی  ژیژک,کامران برادران,نشر حکمت کلمه
بالاخره این زندگی مال کیه,برایان کلارک,احمد کسایی پور,كارنامه
اقتصاد خوب برای دوران سخت,آبهیجیت بنرجی $ استر دوفلو,صبا نوروزی,بنگاه ترجمه و نشر کتاب پارسه
رفتنت برایم آمد نداشت,احمدرضا بهرام پور,,انتشارات مروارید
دو هفته نامه راز ـ شماره ۷۵ـ نیمه دوم مهر ۹۴,,,مجله راز
۲۱ ویژگی برای مدیریت و رهبری,جان سی. مکسول,مهوش عزیزی,روشنگران و مطالعات زنان
ماجراهای ژان و ژان و ... ژان! املت شکر,ژان فلیپ آرو وینیو,مریم ایروانی,انتشارات هوپا
از سیر تا غروب؛ سه تارنوازی معاصر,مسعود شعاری,,هنر موسیقی
خانم روشه دلش خوشه,دن گاتمن,محبوبه نجف خانی,نشر افق
پدیدارشناسی روح,گئورگ‌ویلهلم‌فریدریش  هگل,محمدمهدی اردبیلی $ سیدمسعود حسینی,نشر نی
چراهای شگفت انگیز؛ اسب ها و اسب چه ها,جینی جانسون,محمدرضا افضلی,انتشارات محراب قلم
لمس تنهایی تو,رویا اکبری,,نشر علی
ذهنت را پاکسازی کن,جان کهو,نفیسه معتکف,انتشارات هو
