id,name,author,translator,publisher
6382,شهروند - ۱۳۹۴ چهارشنبه ۲ دي,,,روزنامه شهروند
63820,بهداشت کودک,میریام استوپارد,حمید سورگی $ ساسان واثق $ محمدرضا شگرف نخعی,انتشارات صابرین
63821,شهروند - ۱۳۹۸ دوشنبه ۱۳ آبان,,,روزنامه شهروند
63822,به انجام رساندن کارها,دیوید آلن,,نوین کتاب گویا
63823,مدیریت هیجان,نسرین دانایی,,انتشارات سخن
63824,مهارت های ارتباط مؤثر,نسرین دانایی,,انتشارات سخن
63825,کلیدهای آموختن به کودکان درباره‌ی خدا,ایریس یاب $ مسعود حاجی‌زاده,,انتشارات صابرین
63826,پدر پولدار پدر بی‌پول,رابرت کیوساکی,,نوین کتاب گویا
63827,کلیدهای پرورش اعتماد به نفس در کودکان و نوجوانان,گلن استنهاوس,ناهید آزادمنش,انتشارات صابرین
63828,بازی‌ها: روانشناسی روابط انسانی,اریک برن,اسماعیل فصیح,نوین کتاب گویا
63829,وقتی که فرزندان باهوش نمره های کم‌ می گیرند!,سیلویا ریم,ناهید آزادمنش,انتشارات صابرین
6383,قانون - ۱۳۹۴ چهارشنبه ۲ دي,,,روزنامه قانون
63830,کلیدهای تربیت فرزند قدرشناس,امی‌مک کریدی,اکرم کریم,انتشارات صابرین
63831,هدیه ای از فرشته مادر,زهرا سینایی (راحیل),,انتشارات صابرین
63832,تسلا مردی فراتر از زمان,مارگارت چن,,نوین کتاب گویا
63833,کتاب بزرگ بازی,دبرا وایز,منیره نادری,انتشارات صابرین
63834,کلیدهای خلاقیت هنری در کودکان و نوجوانان,سوزان استرایکر $ سالی وارنر,اکرم  قیطاسی,انتشارات صابرین
63835,کلیدهای آرام کردن کودک ناآرام,ویلیام سی‌یرز,ربابه مرتضوی,انتشارات صابرین
63836,مدرسه‌ی دوست‌داشتنی من,مایکلین ماندی,برزو سریزدی,انتشارات صابرین
63837,کلیدهای پرورش مهارت های اساسی زندگی در کودکان و نوجوانان,دروتی ریچ,اکرم  قیطاسی,انتشارات صابرین
63839,چهل نکته‌ی کلیدی برای شیردادن به نوزاد,ویلیام سیزر $ مارتا سیزر,جواد میدانی,انتشارات صابرین
6384,اعتماد - ۱۳۹۴ چهارشنبه ۲ دي,,,روزنامه اعتماد
63840,دیگر نگران نیستم!,کریستین ای. آدامز,برزو سریزدی,انتشارات صابرین
63841,بهترین کلیدهای تغذیه برای کودک و نوجوان,کارولین مور $ رابرت شولمن $ می‌می کر,جواد میدانی,انتشارات صابرین
63842,ورود به خانواده‌ جدید,ام. گری نیومن $ پاتریشیا رمانوسکی,فرناز فرود,انتشارات صابرین
63843,نجات فرزند از تفکر منفی,تامار چنسکی,فرناز فرود,انتشارات صابرین
63844,رسانه ها و بیداری اسلامی,مجتبی بابایی,,جام‌جم
63845,پرورش مغز,تریسی پکم آلووی $ تیموتی ای پارکر,حسین سلیمانی,نوین کتاب گویا
63846,تمرین نیروی حال,اکهارت  تله,فاطمه مشایخی,نوین کتاب گویا
63847,تن آرامی یا ریلکسیشن,کیارش ساعتچی,,نوین کتاب گویا
63849,ثروتمندترین مرد بابل,جورج سمیویل  کلاسون,محیا فراست,نوین کتاب گویا
6385,خراسان - ۱۳۹۴ چهارشنبه ۲ دي,,,روزنامه خراسان
63850,چگونه با هرکسی صحبت کنیم,لیل لوندز,مهدی قراچه‌داغی,نوین کتاب گویا
